date,sg_cpi
1961-01-31,24.253
1961-02-28,24.249
1961-03-31,24.543
1961-04-28,24.365
1961-05-31,24.246
1961-06-30,24.326
1961-07-31,24.413
1961-08-31,24.551
1961-09-29,24.455
1961-10-31,24.527
1961-11-30,24.478
1961-12-29,24.404
1962-01-31,24.355
1962-02-28,24.468
1962-03-30,24.375
1962-04-30,24.49
1962-05-31,24.518
1962-06-29,24.541
1962-07-31,24.647
1962-08-31,24.455
1962-09-28,24.579
1962-10-31,24.534
1962-11-30,24.59
1962-12-31,24.601
1963-01-31,24.872
1963-02-28,25.053
1963-03-29,24.827
1963-04-30,24.827
1963-05-31,24.941
1963-06-28,24.931
1963-07-31,24.922
1963-08-30,24.85
1963-09-30,24.978
1963-10-31,25.603
1963-11-29,25.309
1963-12-31,25.274
1964-01-31,25.223
1964-02-28,25.36
1964-03-31,25.495
1964-04-30,25.414
1964-05-29,25.397
1964-06-30,25.236
1964-07-31,25.421
1964-08-31,25.692
1964-09-30,25.637
1964-10-30,25.531
1964-11-30,25.398
1964-12-31,25.547
1965-01-29,25.417
1965-02-26,25.427
1965-03-31,25.45
1965-04-30,25.308
1965-05-31,25.514
1965-06-30,25.521
1965-07-30,25.413
1965-08-31,25.403
1965-09-30,25.504
1965-10-29,25.657
1965-11-30,25.719
1965-12-31,25.79
1966-01-31,25.933
1966-02-28,25.824
1966-03-31,25.77
1966-04-29,26.067
1966-05-31,26.055
1966-06-30,26.037
1966-07-29,26.161
1966-08-31,26.17
1966-09-30,26.036
1966-10-31,25.98
1966-11-30,26.111
1966-12-30,26.15
1967-01-31,26.417
1967-02-28,26.574
1967-03-31,26.572
1967-04-28,26.302
1967-05-31,26.615
1967-06-30,26.839
1967-07-31,27.187
1967-08-31,26.915
1967-09-29,27.158
1967-10-31,27.168
1967-11-30,27.296
1967-12-29,27.418
1968-01-31,27.336
1968-02-29,27.154
1968-03-29,27.187
1968-04-30,27.248
1968-05-31,27.025
1968-06-28,26.952
1968-07-31,27.031
1968-08-30,27.133
1968-09-30,26.991
1968-10-31,27.06
1968-11-29,26.877
1968-12-31,26.675
1969-01-31,26.643
1969-02-28,26.676
1969-03-31,26.944
1969-04-30,26.971
1969-05-30,27.271
1969-06-30,27.079
1969-07-31,26.909
1969-08-29,26.963
1969-09-30,27.004
1969-10-31,26.932
1969-11-28,27.119
1969-12-31,27.355
1970-01-30,26.946
1970-02-27,27.082
1970-03-31,26.891
1970-04-30,27.096
1970-05-29,27.092
1970-06-30,27.009
1970-07-31,27.186
1970-08-31,27.122
1970-09-30,27.07
1970-10-30,27.241
1970-11-30,27.11
