date,usd_sgd
1988-01-08,2.0443
1988-01-15,2.0313
1988-01-22,2.0205
1988-01-29,2.0182
1988-02-05,2.016
1988-02-12,2.0173
1988-02-19,2.0189
1988-02-26,2.013
1988-03-04,2.0154
1988-03-11,2.0131
1988-03-18,2.0184
1988-03-25,2.0132
1988-03-31,2.0045
1988-04-08,2.003
1988-04-15,2.0019
1988-04-22,2.0037
1988-04-29,2.0016
1988-05-06,2.0039
1988-05-13,2.0052
1988-05-20,2.0128
1988-05-27,2.0168
1988-06-03,2.0217
1988-06-10,2.018
1988-06-17,2.0246
1988-06-24,2.0346
1988-07-01,2.0483
1988-07-08,2.0443
1988-07-15,2.0503
1988-07-22,2.0384
1988-07-29,2.0378
1988-08-05,2.0472
1988-08-12,2.0397
1988-08-19,2.0374
1988-08-26,2.0329
1988-09-02,2.0429
1988-09-09,2.0375
1988-09-16,2.0433
1988-09-23,2.0406
1988-09-30,2.0408
1988-10-07,2.0389
1988-10-14,2.024
1988-10-21,2.0056
1988-10-28,1.9998
1988-11-04,1.9838
1988-11-11,1.9693
1988-11-18,1.9487
1988-11-25,1.9402
1988-12-02,1.9491
1988-12-09,1.9418
1988-12-16,1.9458
1988-12-23,1.9435
1988-12-30,1.9462
1989-01-06,1.9409
1989-01-13,1.941
1989-01-20,1.9418
1989-01-27,1.9342
1989-02-03,1.929
1989-02-10,1.9277
1989-02-17,1.9228
1989-02-24,1.9257
1989-03-03,1.9331
1989-03-10,1.94
1989-03-17,1.938
1989-03-23,1.9407
1989-03-31,1.9589
1989-04-07,1.9479
1989-04-14,1.9516
1989-04-21,1.9411
1989-04-28,1.9485
1989-05-05,1.9513
1989-05-12,1.9548
1989-05-18,1.9663
1989-05-26,1.9512
1989-06-02,1.9512
1989-06-09,1.9516
1989-06-16,1.9608
1989-06-23,1.9527
1989-06-30,1.966
1989-07-07,1.9608
1989-07-14,1.9568
1989-07-21,1.9593
1989-07-28,1.9569
1989-08-04,1.9498
1989-08-11,1.9515
1989-08-18,1.9616
1989-08-25,1.9683
1989-09-01,1.9687
1989-09-08,1.9787
1989-09-15,1.9804
1989-09-22,1.9802
1989-09-29,1.9603
1989-10-06,1.9664
1989-10-13,1.9693
1989-10-20,1.9567
1989-10-27,1.961
1989-11-03,1.958
1989-11-10,1.9587
1989-11-17,1.9601
1989-11-24,1.9582
1989-12-01,1.9468
1989-12-08,1.9318
1989-12-15,1.917
1989-12-22,1.9026
1989-12-29,1.8944
1990-01-05,1.8983
1990-01-12,1.895
1990-01-19,1.8861
1990-01-26,1.8773
1990-02-02,1.8675
1990-02-09,1.861
1990-02-16,1.8663
1990-02-23,1.8638
1990-03-02,1.8764
1990-03-09,1.8737
1990-03-16,1.8731
1990-03-23,1.8834
1990-03-30,1.8843
1990-04-06,1.8749
1990-04-12,1.878
1990-04-20,1.8767
1990-04-27,1.8763
